,Timestamp,Metadata,Headline,URL,ShortDesc
0,2018-01-01T04:16:04+00:00,," 10 US Citizens, 2 Locals Killed in Costa Rica Plane Crash ",https://www.bloomberg.com/news/articles/2017-12-31/urgent-plane-with-12-believed-aboard-crashes-in-costa-rica," shock and disbelief right now,"" Bruce Steinberg's sister, Tamara Steinberg Jacobson, wrote on Facebook. She also confirmed the deaths in an interview with NBC News . Rabbi Jonathan Blake of the Westchester... "
1,2018-03-27T17:31:41+00:00,politics, Mark Zuckerberg Is Expected to Testify Before Congress on April 12 ,https://www.bloomberg.com/politics/articles/2018-03-27/mark-zuckerberg-plans-to-testify-before-congress-on-april-12,  amid signs that Facebook has failed to protect user privacy. Newspaper reports this month said an advertising-data firm obtained information on more than 50 million Facebook users without their... 
2,2018-03-28T11:10:15+00:00,technology, Facebook Updates Privacy Tools for Better Data Control ,https://www.bloomberg.com/news/articles/2018-03-28/facebook-updates-privacy-tools-for-better-data-control," Facebook Inc. said it will make it more straight-forward for users to change their privacy settings and delete data they’ve already shared with the social-media company, Bloomberg News reports... "
3,2018-04-11T11:11:24+00:00,, Facebook's Zuckerberg Before Congress Highlights ,https://www.bloomberg.com/news/videos/2018-04-11/facebook-s-zuckerberg-before-congress-highlights-video,"                                                     ""It was my mistake and I'm sorry,"" says Facebook CEO Mark Zuckerberg. Here are the highlights from his testimony before Congress https://bloom... "
4,2018-04-26T15:08:15+00:00,, Jaguars Owner Shahid Khan Makes Offer to Buy Wembley Stadium ,https://www.bloomberg.com/news/articles/2018-04-26/jaguars-owner-shahid-khan-looks-to-buy-wembley-stadium," scheduling future NFL games in London."" ___ Rob Harris is at www.twitter.com/RobHarris and www.facebook.com/RobHarrisReports... "
5,2018-06-15T18:45:10+00:00,technology, Activists Aim at Defense Contractors Over Child Detention Policy ,https://www.bloomberg.com/news/articles/2018-06-15/activists-aim-at-defense-contractors-over-child-detention-policy-jihc2b99," media-based consumer activism groups, have asked their hundreds of thousands of Twitter and Facebook followers to contact companies like MVM Inc. and General Dynamics Corp.Grab Your Wallet co-founder... "
6,2018-07-26T13:33:01+00:00,," Facebook Plunges 18%, Wiping $120 Billion From Market Cap ",https://www.bloomberg.com/news/articles/2018-07-26/facebook-plunges-18-wiping-120-billion-from-market-cap," Facebook plunges 18%, wiping out $120 billion from its market cap.The S&P 500 is up almost 1% and the Nasdaq, which is more tech heavy, is down 1.2% after market open.Developing... ... "
7,2018-07-24T11:30:13+00:00,view, Don't Blame Amazon (AMZN) or Apple (AAPL) for Expensive Market ,https://www.bloomberg.com/view/articles/2018-07-24/don-t-blame-amazon-amzn-or-apple-aapl-for-expensive-market," or any other member of the FANG bloc. In fact, none of the tech megacaps, which also include Facebook Inc. and Google parent Alphabet Inc., even rank in the top 10.Hess Corp., an 85-year-old oil... "
8,2018-07-23T15:42:16+00:00,businessweek," Just in Case Moscow Is Still Meddling, Here’s What to Do ",https://www.bloomberg.com/news/articles/2018-07-23/just-in-case-moscow-is-still-meddling-here-s-what-to-do," leader, saying it does not adjust its main search algorithm to de-rank individual websites.” Facebook should expand its partnership with third-party fact-checking sites such as PolitiFact and Snopes... "
9,2018-07-23T11:12:29+00:00,," Facebook Doubles Down on London With Space for 6,000 Workers ",https://www.bloomberg.com/news/articles/2018-07-23/facebook-set-to-more-than-double-london-worker-numbers-to-6-000, Facebook Inc. will double the amount of space it occupies in London as technology firms continue to expand in the U.K.The new office buildings in the city’s King’s Cross district will have room... 
10,2018-07-22T22:40:13+00:00,markets, Five Things You Need to Know to Start Your Day ,https://www.bloomberg.com/news/articles/2018-07-22/five-things-you-need-to-know-to-start-your-day,"  with the Google parent expected to show gains from mobile search, YouTube and cloud sales. Facebook and Amazon are due later in the week. Exxon and Shell, and Bristol-Myers and Eli Lilly headline... "
11,2018-07-21T17:13:00+00:00,politics, Blackstone Group's Schwarzman Among Biggest June Midterm Donors ,https://www.bloomberg.com/politics/articles/2018-07-21/blackstone-group-s-schwarzman-among-biggest-june-midterm-donors," the professional networking site LinkedIn, gave $2 million. Dustin Moskovitz, a co-founder of Facebook Inc., gave $1 million.Priorities USA, a Democratic super PAC focusing on voter engagement and... "
12,2018-07-16T20:56:10+00:00,technology," Tech `Euphoria' Could Permanently Damage Returns, Smead Says ",https://www.bloomberg.com/news/articles/2018-07-16/tech-euphoria-could-permanently-damage-returns-smead-says," the 30 questions asked, “the answer to half of them was ‘we don’t disclose that,’ ” they wrote.Facebook Inc. and Alphabet Inc. will become regulated businesses like AT&T Inc., broadcast networks and... "
13,2018-07-16T20:54:36+00:00,technology, IBM Seeks $167 Million From Groupon in E-Commerce Patent Suit ,https://www.bloomberg.com/news/articles/2018-07-16/ibm-seeks-167-million-from-groupon-in-e-commerce-patent-suit," e-commerce and piggybacked on existing technologies. Many companies, including Amazon.com Inc. and Facebook Inc., have bought licenses to use the company’s patented technology, while Groupon hasn’t, he... "
14,2018-07-16T13:17:21+00:00,technology, Israel Set to Approve ‘Facebook Law’ Against Web Incitement ,https://www.bloomberg.com/news/articles/2018-07-16/israel-set-to-approve-facebook-law-against-web-incitement," Israelis have admitted to being influenced by content on Facebook, Twitter Inc., YouTube Inc. and other online platforms.Expanded ScopeFacebook had no immediate comment on the legislation. Spokespeople... "
15,2018-07-13T21:00:13+00:00,, Your Evening Briefing ,https://www.bloomberg.com/news/articles/2018-07-13/your-evening-briefing, including meat. FEMA  emptied its Puerto Rico warehouse just before Hurricane Maria struck. Facebook is  going after Instagram's millennial users.  Consumers are spending more while still paying... 
16,2018-07-13T15:06:33+00:00,view, AT&T Time Warner Will Get Another Look ,https://www.bloomberg.com/view/articles/2018-07-13/at-amp-t-time-warner-will-get-another-look," index. Facebook v. SEC.In 2015, Facebook Inc. discovered that Cambridge Analytica had improperly come into possession of user data on millions of Facebook users. In March 2018, Facebook users discovered... "
17,2018-07-13T11:00:13+00:00,technology, How Elon Musk Tries to Control His Public Narrative ,https://www.bloomberg.com/news/articles/2018-07-13/how-elon-musk-tries-to-control-his-public-narrative, decision to allow AT&T’s acquisition of Time Warner to go forward. AT&T stock dropped 1.1 percent.Facebook won’t block InfoWars. The company has struggled with how to promote truthful content without... 
18,2018-07-13T09:53:26+00:00,politics, Trump Bulldozes Through Allies to Reach Putin ,https://www.bloomberg.com/politics/articles/2018-07-13/trump-bulldozes-through-allies-to-reach-putin," morning? Sign up for the Balance of Power newsletter, and follow Bloomberg Politics on Twitter and Facebook for more.Donald Trump’s being as good as his word. After raging at allies at the NATO summit... "
19,2018-07-11T15:30:00+00:00,technology, Facebook to Give Scholars Petabyte of Data on Misinformation ,https://www.bloomberg.com/news/articles/2018-07-11/facebook-to-give-scholars-petabyte-of-data-on-misinformation," Park, California-based Facebook. The names of the committees indicate future research topics may include political advertising, civic engagement and polarization.Facebook has for years worked with... "
20,2018-06-25T15:53:44+00:00,politics, American Express Case Could Shield Tech Giants From Antitrust Scrutiny ,https://www.bloomberg.com/politics/articles/2018-06-25/u-s-supreme-court-backs-american-express-on-credit-card-suit-jiucffg9, closely watched in Silicon Valley because of the prospect it could insulate tech giants like Facebook Inc. and Amazon.com Inc. from some antitrust suits.The ruling preserves American Express’s high-fee... 
21,2018-07-16T11:00:13+00:00,technology, VC Firm Social Capital Set Out to Fix Capitalism. Now It’s In Turmoil ,https://www.bloomberg.com/news/articles/2018-07-16/vc-firm-social-capital-set-out-to-fix-capitalism-now-it-s-in-turmoil," point, Facebook would market heavily in that country to beat out competing social media services.Palihapitiya speaks at a Facebook event in 2009.Photographer: Tony Avelar/BloombergAs Facebook’s social... "
22,2018-07-15T12:34:06+00:00,politics, Italy Asks EU Countries to Accept Migrants From Ships ,https://www.bloomberg.com/politics/articles/2018-07-15/italy-makes-plea-to-eu-countries-to-accept-migrants-from-ships," calls and written exchanges I have had with all 27 European leaders,” he said in a post on his Facebook profile. He added that Italy would accept some of the rescued migrants if other countries agreed... "
23,2018-07-13T10:00:00+00:00,, Earnings Have a Way of Sending FANG Stocks Separate Ways: Chart ,https://www.bloomberg.com/news/articles/2018-07-13/earnings-have-a-way-of-sending-fang-stocks-separate-ways-chart," history is any guide. More than three years have passed since shares of all four companies -- Facebook Inc., Amazon.com Inc., Netflix Inc. and Google’s owner, Alphabet Inc. -- rose on the first trading... "
24,2018-05-17T09:30:28+00:00,view, Maybe Blockchain Isn't as Cool as It Thinks It Is ,https://www.bloomberg.com/view/articles/2018-05-17/maybe-blockchain-isn-t-as-cool-as-it-thinks-it-is," Pop quiz: Which of Alphabet Inc., Apple Inc., Amazon.com Inc., Facebook Inc. and Netflix Inc. has shouted most to investors about Bitcoin or blockchain?The answer is... none of the above. Bloomberg's... "
25,2018-05-17T01:40:21+00:00,, Tencent Surges as Record Profit Eases Concerns About Margins ,https://www.bloomberg.com/news/articles/2018-05-17/tencent-soars-as-record-profit-eases-concerns-about-margins," raised the maximum number of ads that customers see on WeChat Moments, a function similar to Facebook’s newsfeed, to just two a day from one previously.“The results were good even without the one-time... "
26,2018-05-16T15:00:16+00:00,view, Mark Zuckerberg and Eric Lander Inspire a Lesson in Apologies ,https://www.bloomberg.com/view/articles/2018-05-16/mark-zuckerberg-and-eric-lander-inspire-a-lesson-in-apologies," linguistics professor Annabelle Lukin shows how the Facebook founder used a trick called middle voice to deflect blame here: “I’m sorry. I started Facebook, I run it, and I’m responsible for what happens... "
27,2018-05-16T12:27:24+00:00,view, Ritholtz's Reads: Gold’s New Low and Love Stories of Tumblr ,https://www.bloomberg.com/view/articles/2018-05-16/ritholtz-s-reads-gold-s-new-low-and-love-stories-of-tumblr, Tumblr”: How the Entire Internet Became a Dating Site (Wall Street Journal)What are you reading?Facebook closed 583 million fake accounts in first three months of 2018 Source: The GuardianWant to receive... 
28,2018-05-16T03:00:01+00:00,politics, Italy's Populists Say Government Talks Entering Final Stretch ,https://www.bloomberg.com/politics/articles/2018-05-16/italy-s-populists-say-government-talks-entering-final-stretch," for Italy have entered their final lap.“We’re in the final stretch,” Salvini, 45, said in a Facebook video late on Tuesday. “I’m working right until the end to see whether it will be possible.”Matteo... "
29,2018-05-15T13:00:01+00:00,technology, Islamic State Moving to Digital Lockers to Spread Propaganda ,https://www.bloomberg.com/news/articles/2018-05-15/islamic-state-moving-to-digital-lockers-to-spread-propaganda," file-hosting websites to spread propaganda in response to social-media crackdowns by Twitter Inc., Facebook Inc., and Alphabet Inc.’s Google.New York-based threat-analysis firm Flashpoint published research... "
30,2017-12-18T03:07:47+00:00,markets," Hong Kong Listings Rule Changes Set to Transform Market, Li Says ",https://www.bloomberg.com/news/articles/2017-12-18/hong-kong-listings-rule-changes-set-to-transform-market-says-li," will consider detailed rules.Some of the world’s largest technology companies, from Alibaba to Facebook Inc. and Google parent Alphabet Inc., use shares with enhanced voting power to protect their... "
31,2017-12-15T11:16:46+00:00,politics, Republicans’ Ticking Tax Clock(s) ,https://www.bloomberg.com/politics/articles/2017-12-15/republicans-ticking-tax-clock-s," morning? Sign up for the Balance of Power newsletter, and follow Bloomberg Politics on Twitter and Facebook for more.Authors of an emerging House-Senate tax compromise have been focusing on sweeteners... "
